url,id,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11150061,11150061.0,1.0,Brussels,Ixelles,1050,APARTMENT,APARTMENT,495000.0,2.0,134.0,INSTALLED,0.0,,1.0,12.0,,,UNKNOWN,2,0.0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/dalhem/4607/11157636,11157636.0,2.0,Liège,DALHEM,4607,APARTMENT,APARTMENT,239000.0,2.0,100.0,INSTALLED,,,1.0,6.0,,,UNKNOWN,2,,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/11153121,11153121.0,1.0,Brussels,Jette,1090,APARTMENT,APARTMENT,289000.0,3.0,80.0,INSTALLED,0.0,,1.0,2.0,,,,2,0.0,GOOD
https://www.immoweb.be/en/classified/penthouse/for-sale/brasschaat/2930/11156330,11156330.0,3.0,Antwerp,Brasschaat,2930,APARTMENT,PENTHOUSE,995000.0,2.0,315.0,HYPER_EQUIPPED,1.0,-1.0,1.0,40.0,,,,2,,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11139208,11139208.0,1.0,Brussels,Anderlecht,1070,APARTMENT,APARTMENT,171717.0,2.0,76.0,SEMI_EQUIPPED,0.0,,1.0,6.0,,,UNKNOWN,2,0.0,TO_RENOVATE
https://www.immoweb.be/en/classified/flat-studio/for-sale/antwerpen/2018/11142083,11142083.0,3.0,Antwerp,ANTWERPEN,2018,APARTMENT,FLAT_STUDIO,187000.0,1.0,42.0,INSTALLED,,,1.0,7.0,,,UNKNOWN,2,,AS_NEW
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussels-city/1000/9881253,9881253.0,1.0,Brussels,Brussels City,1000,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/diegem/1831/10623824,10623824.0,3.0,Flemish Brabant,Diegem,1831,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/11137641,11137641.0,3.0,Antwerp,Mortsel,2640,APARTMENT,APARTMENT,249000.0,1.0,83.0,INSTALLED,,-1.0,1.0,2.0,,,,,,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/11139941,11139941.0,3.0,East Flanders,Deinze,9800,APARTMENT,APARTMENT,249000.0,4.0,170.0,INSTALLED,,,1.0,74.0,,,UNKNOWN,,,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/duplex/for-sale/schaerbeek/1030/11137668,11137668.0,1.0,Brussels,Schaerbeek,1030,APARTMENT,DUPLEX,250000.0,1.0,65.0,USA_HYPER_EQUIPPED,0.0,,,,,,UNKNOWN,2,0.0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/braine-lalleud/1420/11138237,11138237.0,2.0,Walloon Brabant,Braine-l'Alleud,1420,APARTMENT,APARTMENT,255000.0,2.0,88.0,INSTALLED,0.0,,1.0,6.0,,,UNKNOWN,2,0.0,GOOD
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/evere/1140/11138323,11138323.0,1.0,Brussels,Evere,1140,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/woluwe-st-lambert/1200/10982614,10982614.0,1.0,Brussels,Woluwe-St-Lambert,1200,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/herenthout/2270/11139537,11139537.0,3.0,Antwerp,Herenthout,2270,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/deinze/9800/11137856,11137856.0,3.0,East Flanders,Deinze,9800,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/blankenberge/8370/11139767,11139767.0,3.0,West Flanders,BLANKENBERGE,8370,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/wavre/1300/11137662,11137662.0,2.0,Walloon Brabant,Wavre,1300,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
